idVideo,features,category
67,0|1|0|0|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1,higiene corporal
68,0|1|0|0|0|1|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1,higiene corporal
69,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1,ojos
70,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1,Tecnicas de relajación corporal
71,0|1|0|0|0|1|1|1|1|0|1|0|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1,Tecnicas de relajación corporal
72,0|1|0|0|0|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1,Tecnicas de relajación corporal
73,0|1|0|0|0|1|1|1|0|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1,Tecnicas de relajación corporal
74,0|1|0|0|0|1|1|0|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1,Tecnicas de relajación corporal
75,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|0|1|1|1|1,Ejercicios corporales
76,0|1|0|0|0|1|0|1|1|0|1|0|1|1|1|1|0|1|1|1|1|0|1|0|1|1|1|1,Ejercicios corporales
77,0|1|0|0|0|1|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|0|1|0|1|1|1|1,Ejercicios corporales
78,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|1|1|1,ojos
79,0|1|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|0|1|1|1|0|1|0|1|1|1|1,Ejercicios corporales
80,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|0|1|0|1|1|1|1,Ejercicios corporales
81,0|1|0|0|0|1|0|1|1|0|1|0|1|1|1|1|1|0|1|1|1|0|1|0|1|1|1|1,Ejercicios corporales
82,0|1|0|0|0|1|0|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|0|0|1|1|1|1,Ejercicios corporales
83,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1,Ejercicios corporales
84,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1|0|0|1|1|1|1,Ejercicios corporales
85,1|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1,SCC
86,1|0|0|0|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1,SCC
87,1|0|0|0|1|0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1,SCC
88,1|0|0|0|1|0|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1,SCC
89,1|0|0|0|1|0|1|1|1|1|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1,LISS
90,1|0|0|0|1|0|1|0|0|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1,LISS
91,1|0|0|0|1|0|1|1|0|1|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1,LISS
92,1|0|0|0|1|0|1|0|1|1|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1,LISS
93,1|0|0|0|1|0|0|1|1|1|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1,LISS
94,1|0|0|0|1|0|1|1|1|1|0|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1,LISS
95,1|0|0|0|1|0|1|0|0|0|0|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1,LISS
96,1|0|0|0|1|0|1|1|0|1|0|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1,LISS
97,1|0|0|0|1|0|1|0|1|1|0|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1,LISS
98,1|0|0|0|1|0|0|1|1|1|0|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1,LISS
99,1|0|0|0|1|0|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1,HIIT
100,1|0|0|0|1|0|1|1|1|1|0|1|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1,HIIT
101,1|0|0|0|1|0|1|1|1|1|0|1|1|1|0|0|1|1|1|1|1|0|1|1|1|1|0|1,LISS
102,1|0|0|0|1|0|1|1|1|1|0|1|1|1|0|0|1|0|1|1|1|0|1|1|1|1|1|1,LISS
103,1|0|0|0|1|0|1|1|1|1|0|1|1|1|0|0|0|1|1|1|1|0|1|1|1|1|0|1,HIIT
104,1|0|0|1|0|0|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1,NADAR
